Bird_lib,Bird_order,Bird_species,Location,General_Location,Sample_Type,Sacvening_status,Migration,Adenoviridae,Anelloviridae,Astroviridae,Caliciviridae,Coronaviridae,Flaviviridae,Hepadnaviridae,Orthoherpesviridae,Orthomyxoviridae,Papillomaviridae,Paramyxoviridae,Picornaviridae,Pneumoviridae,Polyomaviridae,Sedoreoviridae,Spinareoviridae,Tobaniviridae
1,Charadriiformes,Chatham Island oystercatcher,Chathams,Chathams,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,9.375221714,0,0,0,0,0
2,Charadriiformes,Chatham Island oystercatcher,Chathams,Chathams,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.8158875,0,0
3,Charadriiformes,Chatham Island oystercatcher,Chathams,Chathams,cloacal,No,Sedentary,0,0,0,16.57534359,0,0,0,0,0,0,0,23.28213001,0,0,0,0,0
4,Charadriiformes,Chatham Island oystercatcher,Chathams,Chathams,cloacal,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.055338265,9797.41405,0
5,Procellariiformes,Fairy prion,Mangere,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,20.59024129,0,0,0,0,0,0,0
6,Procellariiformes,Fairy prion,Mangere,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Procellariiformes,Fairy prion,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,170.2061473,0,0,0,0,0
8,Procellariiformes,Fairy prion,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,9.48830292,0,0,0,1222.072389,0
9,Procellariiformes,Grey-backed storm petrel,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,749.6255496,0,0,0,0,0,0,0,0,0,0,0
10,Procellariiformes,Sooty shearwater,Mangere,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0.572274954,0,0,0,0,0,0,0
11,Procellariiformes,Sooty shearwater,Mangere,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0.432473267,0,6.952839439,0,0,0,0,0
12,Procellariiformes,Sooty shearwater,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Procellariiformes,Sooty shearwater,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0.591182212,0,0,0,0,0
14,Procellariiformes,Sooty shearwater,Mangere,Chathams,cloacal,No,Migratory,33.76120851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Procellariiformes,Sooty shearwater,Mangere,Chathams,cloacal,No,Migratory,6.28732444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Procellariiformes,White-faced storm petrel,Mangere,Chathams,cloacal,No,Migratory,0.239559725,0,0,0,0,0,0,0,0,0,0,0.626540818,0,0,0,0,0
17,Procellariiformes,White-faced storm petrel,Mangere,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,661.0719467,0,0,0,0,0
18,Procellariiformes,Broad-billed prion,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,14.75164334,0,0,0,0,0,0,0
19,Procellariiformes,Broad-billed prion,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Procellariiformes,Broad-billed prion,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Procellariiformes,Broad-billed prion,Rangitira,Chathams,cloacal,No,Migratory,19.40576803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Procellariiformes,Broad-billed prion,Rangitira,Chathams,cloacal,No,Migratory,0.508873114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Procellariiformes,Broad-billed prion,Rangitira,Chathams,cloacal,No,Migratory,0.160219413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,cloacal,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,cloacal,No,Sedentary,0,0,0,0,0,1.400517102,0,0,0,0,0,101.9313853,0,0,274.9390135,0,0
29,Charadriiformes,Chatham Island snipe,Rangitira,Chathams,cloacal,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,30.75869562,0,0,0,0,0
30,Procellariiformes,Sooty shearwater,Rangitira,Chathams,oral,No,Migratory,3.45671182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Procellariiformes,Sooty shearwater,Rangitira,Chathams,cloacal,No,Migratory,1.938989038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,285.064203,0,0,0
34,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,0.431797098,0,0,0,13.73114771,0,0,0,0,0
36,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,321.1348619,0,0,0,37.94236841,0,0,0,0,0
37,Procellariiformes,White-faced storm petrel,Rangitira,Chathams,cloacal,No,Migratory,0,0,0,0,0,0,0,16.55774596,0,0,0,0,0,0,0,0,0
38,Procellariiformes,Common diving petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Procellariiformes,Common diving petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Procellariiformes,Cook's petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Procellariiformes,Cook's petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,5.706424717,0,0,0,0,5.53967854,0,0,0,0,0
42,Procellariiformes,Mottled petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,1.28412638,0,0,0,0,0,0,0,0,0,0
43,Procellariiformes,Mottled petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,1444.285779,0,0,0,18.22940511,0,0,0,0,0,0,0
44,Procellariiformes,Mottled petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,0.496948858,0,0,0,0,0,0,0,0,0,0
45,Procellariiformes,Mottled petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,10.38427913,143.4429438,0,0,0,0,0,0,0,0,0,0
46,Procellariiformes,Sooty shearwater,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Procellariiformes,Sooty shearwater,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,0,1.054230125,0,0,0,0,0,0,0,0,0
48,Procellariiformes,Whenua Hou diving petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Procellariiformes,Whenua Hou diving petrel,Whenua Hou,Rakiura Region,oral,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Procellariiformes,Whenua Hou diving petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Procellariiformes,Whenua Hou diving petrel,Whenua Hou,Rakiura Region,cloacal,No,Migratory,0,0,0,0,0,0,0,0,0,0.143353383,0,0,0,0,0,0,0
52,Anseriformes,Auckland Island teal,Adams,Subantartics,oral,No,Sedentary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Anseriformes,Auckland Island teal,Adams,Subantartics,cloacal,No,Sedentary,0,0,0,0,0,0,0,0,0,39.31335982,0,26.71930395,0,0,0,0,18.60398527
54,Charadriiformes,Subantarctic skua,Adams,Subantartics,oral,Yes,Migratory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Charadriiformes,Subantarctic skua,Adams,Subantartics,cloacal,Yes,Migratory,15.6966478,0,0,0,0,0,0,0.242107678,0,0,0,49.22856121,0,0,0,0,0
56,Procellariiformes,Antipodean albatross,Adams,Subantartics,oral,Occasionally,Migratory,0,0,0,0,0,0,0,49.23383335,0,0,0,0,0,0,0,0,0
57,Procellariiformes,Antipodean albatross,Adams,Subantartics,cloacal,Occasionally,Migratory,0,0,0,0,0,0,0,1.787715284,0,0,0,0,0,0,0,0,0
